full_team_name,team_name,real_team_name,league_id,league_name,team_id,division_id,division_name,division_full_name,conference_id,conference_name,conference_full_name,league,team_league_id,city_name,state_name,country,stadium_id,logo_filename
San_Jose_Earthquakes,san_jose_earthquakes,San Jose Earthquakes,2,mls,1142,110,Western, Western Conference,106,Western, Western Conference,MLS,126,san_jose,ca,us,196,san_jose_earthquakes_logo.png
Seattle_Sounders_Fc,seattle_sounders_fc,Seattle Sounders FC,2,mls,1147,110,Western, Western Conference,106,Western, Western Conference,MLS,127,seattle,wa,us,179,seattle_sounders_fc_logo.png
Sporting_Kansas_City,sporting_kansas_city,Sporting Kansas City,2,mls,1149,110,Western, Western Conference,106,Western, Western Conference,MLS,128,kansas_city,ks,us,130,sporting_kansas_city_logo.png
St._Louis_City_Sc,st._louis_city_sc,St. Louis City SC,2,mls,1152,110,Western, Western Conference,106,Western, Western Conference,MLS,129,st_louis,mo,us,144,st._louis_city_sc_logo.png
Vancouver_Whitecaps_Fc,vancouver_whitecaps_fc,Vancouver Whitecaps FC,2,mls,1165,110,Western, Western Conference,106,Western, Western Conference,MLS,130,vancouver,bc,ca,115,vancouver_whitecaps_fc_logo.png
NBA,nba,National Basketball Association,3,nba,1002,111,UA,Unaffiliated,105,UA,Unaffiliated,NBA,100,new_york,ny,us,,nba_logo.png
Boston_Celtics,boston_celtics,Boston Celtics,3,nba,1018,112, Atlantic, Atlantic,106,Eastern, Eastern Conference,NBA,101,boston,ma,us,230,boston_celtics_logo.png
Brooklyn_Nets,brooklyn_nets,Brooklyn Nets,3,nba,1020,112, Atlantic, Atlantic,106,Eastern, Eastern Conference,NBA,102,brooklyn,ny,us,114,brooklyn_nets_logo.png
New_York_Knicks,new_york_knicks,New York Knicks,3,nba,1112,112, Atlantic, Atlantic,106,Eastern, Eastern Conference,NBA,103,new_york,ny,us,181,new_york_knicks_logo.png
Philadelphia_76Ers,philadelphia_76ers,Philadelphia 76ers,3,nba,1123,112, Atlantic, Atlantic,106,Eastern, Eastern Conference,NBA,104,philadelphia,pa,us,240,philadelphia_76ers_logo.png
Toronto_Raptors,toronto_raptors,Toronto Raptors,3,nba,1161,112, Atlantic, Atlantic,106,Eastern, Eastern Conference,NBA,105,toronto,on,ca,213,toronto_raptors_logo.png
Chicago_Bulls,chicago_bulls,Chicago Bulls,3,nba,1031,113,Central, Central,106,Eastern, Eastern Conference,NBA,106,chicago,il,us,237,chicago_bulls_logo.png
Cleveland_Cavaliers,cleveland_cavaliers,Cleveland Cavaliers,3,nba,1039,113,Central, Central,106,Eastern, Eastern Conference,NBA,107,cleveland,oh,us,207,cleveland_cavaliers_logo.png
Detroit_Pistons,detroit_pistons,Detroit Pistons,3,nba,1055,113,Central, Central,106,Eastern, Eastern Conference,NBA,108,detroit,mi,us,175,detroit_pistons_logo.png
Indiana_Pacers,indiana_pacers,Indiana Pacers,3,nba,1070,113,Central, Central,106,Eastern, Eastern Conference,NBA,109,indiana,in,us,152,indiana_pacers_logo.png
Milwaukee_Bucks,milwaukee_bucks,Milwaukee Bucks,3,nba,1093,113,Central, Central,106,Eastern, Eastern Conference,NBA,110,milwaukee,wi,us,149,milwaukee_bucks_logo.png
Atlanta_Hawks,atlanta_hawks,Atlanta Hawks,3,nba,1012,114,Southeast, Southeast,106,Eastern, Eastern Conference,NBA,111,atlanta,ga,us,222,atlanta_hawks_logo.png
Charlotte_Hornets,charlotte_hornets,Charlotte Hornets,3,nba,1028,114,Southeast, Southeast,106,Eastern, Eastern Conference,NBA,112,charlotte,nc,us,220,charlotte_hornets_logo.png
Miami_Heat,miami_heat,Miami Heat,3,nba,1090,114,Southeast, Southeast,106,Eastern, Eastern Conference,NBA,113,miami,fl,us,167,miami_heat_logo.png
