full_team_name,team_name,real_team_name,league_id,team_id,conference_id,division_id,team_league_id,city_name,state_name,country,stadium_id,logo_filename,team_color_1,team_color_2,team_color_3
Houston_Texans,houston_texans,Houston Texans,4,1066,109,121,109,houston,tx,us,191.0,houston_texans_logo.png,#03202F,#A71930,#FFFFFF
Indianapolis_Colts,indianapolis_colts,Indianapolis Colts,4,1069,109,121,110,indianapolis,in,us,178.0,indianapolis_colts_logo.png,#002C5F,#FFFFFF,#000000
Jacksonville_Jaguars,jacksonville_jaguars,Jacksonville Jaguars,4,1071,109,121,111,jacksonville,fl,us,146.0,jacksonville_jaguars_logo.png,#006778,#9F792C,#FFFFFF
Tennessee_Titans,tennessee_titans,Tennessee Titans,4,1161,109,121,112,nashville,tn,us,189.0,tennessee_titans_logo.png,#0C2340,#4B92DB,#FFFFFF
Denver_Broncos,denver_broncos,Denver Broncos,4,1049,109,122,113,denver,co,us,143.0,denver_broncos_logo.png,#FB4F14,#002244,#FFFFFF
Kansas_City_Chiefs,kansas_city_chiefs,Kansas City Chiefs,4,1072,109,122,114,kansas_city,mo,us,109.0,kansas_city_chiefs_logo.png,#E31837,#FFB81C,#FFFFFF
Las_Vegas_Raiders,las_vegas_raiders,Las Vegas Raiders,4,1078,109,122,115,las_vegas,nv,us,102.0,las_vegas_raiders_logo.png,#000000,#A5ACAF,#FFFFFF
Los_Angeles_Chargers,los_angeles_chargers,Los Angeles Chargers,4,1080,109,122,116,los_angeles,ca,us,218.0,los_angeles_chargers_logo.png,#0080C6,#FFC20E,#FFFFFF
Dallas_Cowboys,dallas_cowboys,Dallas Cowboys,4,1043,110,123,117,dallas,tx,us,110.0,dallas_cowboys_logo.png,#003594,#869397,#FFFFFF
New_York_Giants,new_york_giants,New York Giants,4,1110,110,123,118,new_york,ny,us,183.0,new_york_giants_logo.png,#0B2265,#A71930,#FFFFFF
Philadelphia_Eagles,philadelphia_eagles,Philadelphia Eagles,4,1125,110,123,119,philadelphia,pa,us,174.0,philadelphia_eagles_logo.png,#004C54,#A5ACAF,#FFFFFF
Washington_Commanders,washington_commanders,Washington Commanders,4,1173,110,123,120,washington,dc,us,190.0,washington_commanders_logo.png,#5A1414,#FFB612,#FFFFFF
Chicago_Bears,chicago_bears,Chicago Bears,4,1025,110,124,121,chicago,il,us,219.0,chicago_bears_logo.png,#0B162A,#C83803,#FFFFFF
Detroit_Lions,detroit_lions,Detroit Lions,4,1051,110,124,122,detroit,mi,us,150.0,detroit_lions_logo.png,#0076B6,#B0B7BC,#FFFFFF
Green_Bay_Packers,green_bay_packers,Green Bay Packers,4,1061,110,124,123,green_bay,wi,us,171.0,green_bay_packers_logo.png,#203731,#FFB612,#FFFFFF
Minnesota_Vikings,minnesota_vikings,Minnesota Vikings,4,1098,110,124,124,minneapolis,mn,us,235.0,minnesota_vikings_logo.png,#4F2683,#FFC62F,#FFFFFF
Atlanta_Falcons,atlanta_falcons,Atlanta Falcons,4,1006,110,125,125,atlanta,ga,us,182.0,atlanta_falcons_logo.png,#A71930,#000000,#FFFFFF
Carolina_Panthers,carolina_panthers,Carolina Panthers,4,1020,110,125,126,charlotte,nc,us,113.0,carolina_panthers_logo.png,#0085CA,#000000,#FFFFFF
New_Orleans_Saints,new_orleans_saints,New Orleans Saints,4,1108,110,125,127,new_orleans,la,us,122.0,new_orleans_saints_logo.png,#D3BC8D,#000000,#FFFFFF
Tampa_Bay_Buccaneers,tampa_bay_buccaneers,Tampa Bay Buccaneers,4,1158,110,125,128,tampa_bay,fl,us,206.0,tampa_bay_buccaneers_logo.png,#D50A0A,#FF7900,#FFFFFF
Arizona_Cardinals,arizona_cardinals,Arizona Cardinals,4,1002,110,126,129,glendale,az,us,223.0,arizona_cardinals_logo.png,#97233F,#000000,#FFFFFF
Los_Angeles_Rams,los_angeles_rams,Los Angeles Rams,4,1085,110,126,130,los_angeles,ca,us,218.0,los_angeles_rams_logo.png,#003594,#FFA300,#FFFFFF
